hybrid_opt,2,"dynamical coordinate option;

=0 : original WRF terrain-following 
coordinate (default for V3)

=2 : Klemp cubic form for etac (became
default in V4)",single entry 
etac,0.2,"znw(k) < etac; eta surfaces are isobaric;
0.2 is a good default value",single entry
rk_ord,3,"time integration scheme;

=2 : Runge-Kutta 2nd order

=3 : Runge-Kutta 3rd order; recommended
setting",single entry
diff_opt,-1,"turbulence and mixing option;

=0 : no turbulence or explicit spatial
numerical filters; km_opt is ignored

=1 : evaluates 2nd order diffusion term
on coordinate surfaces; uses kvdif
for vertical diffusion unless the PBL
option is used; may be used with
km_opt=1, which is recommended
for real-data cases, and km_opt=4

=2 : evaluates mixing terms in physical
space (stress form; x,y,z); turbulence
parameterization is chosen by
specifying km_opt",max_dom
km_opt,-1,"eddy coefficient option;

=0 : turned off

=1 : constant; use khdif and kvdif

=2 : 1.5 order TKE closure (3D); not
recommeded for DX > 2 km

=3 : Smagorinsky first order closure (3D);
not recommended for Dx > 2km

=4 : horizontal Smagorinsky first order
closure; recommended for real-data cases

=5 : Scale-aware 3DTKE LES/PBL scheme;
must be used with diff_opt=2 and 
bl_pbl_physics=0, and
sf_sfclay_physics=1,5,91; new in V4.2",max_dom
diff_6th_opt,0,"6th-order numerical diffusion option;

=0 : no 6th-order diffusion

=1 : 6th-order numerical diffusion

=2 : 6th-order numerical diffusion, but
prohibits up-gradient diffusion",max_dom
diff_6th_factor,0.12,"6th-order numerical diffusion 
non-dimensional rate; max value 1.0 
corresponds to complete removal of 2dx 
wave in one timestep",max_dom
diff_6th_slopeopt,0,"set to =1 to turn on 6th-order numerical 
diffusion – terrain-slope tapering",max_dom
diff_6th_thresh,0.1,"slope threshold (m/m) that turns off 6th 
order diff in steep terrain",max_dom
damp_opt,3,"upper-level damping flag;

=0 : no damping

=1 : diffusive damping; may be used for
real-data cases; dampcoef
nondimensional ~ 0.01 to 0.1

=2 : Rayleigh damping; dampcoef inverse
time scale (1/s), for e.g., 0.003

=3 : Rayleigh damping; for real-data
cases; dampcoef inverse time 
scale (1/s), for e.g., 0.2",single entry
use_theta_m,1,"use moist theta(1+1.61Qv); set to 0 to
turn off",single entry
use_q_diabatic,0,"set to =1 to turn on inclusion of QV and QC 
tendencies in advection; helps to produce 
correct solution in an idealized 'moist 
benchmark' test case (Bryan, 2014); in 
real-data testing, reduce time_step to 
maintain stability",single entry
c_s,0.25,Smagorinsky coefficient,max_dom
c_k,0.15,TKE coefficient,max_dom
zdamp,5000,damping depth (in meters) from model top,max_dom
dampcoef,0.2,damping coefficient; see damp_opt,max_dom
w_damping,0,"set to =1 to turn on vertical velocity 
damping flag; for operational use",single entry
w_crit_cfl,1,"default vertical courant number where 
vertical damping begins",single entry
zadvect_implicit,0,"set to =1 to use implicit/explicit vertical 
advection (IEVA) scheme",single entry
base_pres,100000,"base state surface pressure (in Pa); 
real-data cases only; not recommended to 
change default value",single entry
base_temp,290,"base state temperature (in K); real-data
cases only",single entry
base_lapse,50,"lapse rate (in K); not recommended to 
change default value; real-data cases only",single entry
iso_temp,200,"isothermal temperature in the statosphere; 
enables the model to be extended to 5 mb; 
real-data cases only",single entry
base_pres_strat,0,"base state pressure (in Pa) at the bottom 
of the stratosphere; US Standard 
atmosphere 55 hPa; real-data cases only",single entry
