Namelist Parameter,"Default 
Setting",Description,"Single Entry or 
Entry for each 
Domain (max_dom)"
"run_days
run_hours
run_minutes
run_seconds",0,"Simulation length in days, hours, minutes,
and seconds; Use any combination of 
run_* settings to obtain the full desired 
simulation length. run_* parameters take 
precedence over start_* and end_* times 
when running wrf.exe; real.exe does not use 
run_* settings.",Single entry 
"start_* times name the first wrfout file and control the start time for restarts. 
start_* and end_* times control the start and end time for all domains. 
start_* and end_* times are used by real.exe. ",,,
start_year,2019,4 digit year of starting time,max_dom
start_month ,9,2 digit month of starting time,max_dom
start_day ,4,2 digit day of starting time,max_dom
start_hour ,12,2 digit hour of starting time,max_dom
start_minute ,0,2 digit minute of starting time,max_dom
start_second ,0,2 digit second of starting time,max_dom
end_year ,2019,4 digit year of ending time,max_dom
end_month ,9,2 digit month of ending time,max_dom
end_day ,6,2 digit day of ending time,max_dom
end_hour ,0,2 digit hour of ending time,max_dom
end_minute ,0,2 digit minute of ending time,max_dom
end_second,0,2 digit second of ending time,max_dom
,,,
interval_seconds,10800,"time interval between incoming data from 
WPS, which is the interval (secs) between 
times in the lateral boundary condition file;  
em_real only",single entry
input_from_file,.true.,whether to use input files for nest domains,max_dom
fine_input_stream,0,"option to select fields to use from nest 
input for initialization;

= 0 : all fields are used

= 2 : only input specified from input
stream 2 (defined in Registry) are 
used for nests; must set io_form_auxinput2",max_dom
history_interval ,60,"Frequency (in simulation minutes) that 
data are written/recorded to history output 
file(s) (wrfout_d0*); can also use 
history_interval_d, history_interval_h, 
history_interval_m, history_interval_s, 
alternatively to set the frequency in days,
hours, mins, secs, respectfully",max_dom
history_begin,0,"Number of mins from the start of the run
in which the history output file (wrfout*)
is written; can also use history_begin_d, 
history_begin_h, history_begin_m, 
history_begin_s alternatively to set the 
frequency in days, hours, mins, secs, 
respectfully",max_dom
frames_per_outfile,1,"number of history output times bulked into 
each history file; used to split output files 
into smaller pieces",max_dom
restart,.false.,whether this run is a restart simulation,single entry
restart_interval,1440,restart output file interval in minutes,single entry
override_restart_intervals,.false.,".false. : uses all output intervals (including
history) given by the wrfrst file
.true. : uses restart output intervals
given by namelist",single entry
write_hist_at_0h_rst,.false.,".false. = no history file written at restart
initial time (prevents overwriting original
history file at this time); 
.true. = history file written at the intial
time of the restart",single entry
output_ready_flag,.true.,"tells the model to write out an empty file
with the name ""wrfoutReady_d<domain>;"" 
useful in production runs so post-processing
code can check on run completeness, 
using this file",single entry
force_use_old_data,.false.,".false. = model stops when it detects input
data prior to version 4;
.true. = allow input data prior to V4",single entry
reset_simulation_start,.false.,"whether to overwrite the simulation start
date with the forecast start time",single entry
auxinput1_inname,"""met_em.d<domain>.<date>""","name of input file from WPS; only
necessary if not using the default file names",single entry
auxinput4_inname,"""wrflowinp_d<domain>""","name of input file for lower boundary file;
created by real.exe when sst_update=1",single entry
auxinput4_interval,360,"interval in mins for lower boundary file; 
only used when sst_update=1",max_dom
io_form_auxinput4,2,"I/O format for wrflowinp files; only used
when sst_update=1 (2 = netCDF)",single entry
